time_iso8601,forks_cumulative
2023-04-28 00:00:00+00:00,281
2023-05-04 00:00:00+00:00,282
2023-05-17 00:00:00+00:00,283
2023-05-18 00:00:00+00:00,285
2023-05-21 00:00:00+00:00,286
2023-06-02 00:00:00+00:00,288
2023-06-14 00:00:00+00:00,289
2023-06-21 00:00:00+00:00,290
2023-06-23 00:00:00+00:00,292
2023-06-26 00:00:00+00:00,294
2023-06-27 00:00:00+00:00,295
2023-06-28 00:00:00+00:00,296
2023-07-10 00:00:00+00:00,297
2023-07-18 00:00:00+00:00,298
2023-07-25 00:00:00+00:00,299
2023-07-29 00:00:00+00:00,300
2023-07-30 00:00:00+00:00,301
2023-07-31 00:00:00+00:00,302
2023-08-05 00:00:00+00:00,303
2023-08-07 00:00:00+00:00,304
2023-08-11 00:00:00+00:00,305
2023-08-23 00:00:00+00:00,306
2023-09-02 00:00:00+00:00,307
2023-09-18 00:00:00+00:00,308
2023-09-20 00:00:00+00:00,309
2023-09-21 00:00:00+00:00,310
2023-09-22 00:00:00+00:00,311
2023-09-29 00:00:00+00:00,313
2023-10-23 00:00:00+00:00,314
2023-10-24 00:00:00+00:00,315
2023-11-02 00:00:00+00:00,316
2023-11-04 00:00:00+00:00,317
2023-11-11 00:00:00+00:00,318
2023-11-25 00:00:00+00:00,319
2023-12-02 00:00:00+00:00,320
2023-12-06 00:00:00+00:00,321
2023-12-08 00:00:00+00:00,322
2023-12-09 00:00:00+00:00,323
2023-12-13 00:00:00+00:00,324
2023-12-15 00:00:00+00:00,328
2023-12-19 00:00:00+00:00,329
2023-12-23 00:00:00+00:00,330
2023-12-28 00:00:00+00:00,331
2024-01-06 00:00:00+00:00,332
2024-01-08 00:00:00+00:00,333
2024-01-19 00:00:00+00:00,334
2024-01-23 00:00:00+00:00,335
2024-02-06 00:00:00+00:00,336
2024-02-07 00:00:00+00:00,337
2024-02-15 00:00:00+00:00,338
2024-03-07 00:00:00+00:00,339
2024-03-20 00:00:00+00:00,340
2024-04-11 00:00:00+00:00,341
2024-05-07 00:00:00+00:00,342
2024-05-20 00:00:00+00:00,343
2024-05-22 00:00:00+00:00,344
2024-05-25 00:00:00+00:00,345
2024-05-29 00:00:00+00:00,346
2024-06-01 00:00:00+00:00,347
2024-06-03 00:00:00+00:00,348
2024-06-18 00:00:00+00:00,350
2024-06-20 00:00:00+00:00,351
2024-06-21 00:00:00+00:00,353
2024-06-24 00:00:00+00:00,354
2024-06-30 00:00:00+00:00,355
2024-07-01 00:00:00+00:00,356
2024-07-04 00:00:00+00:00,357
2024-07-11 00:00:00+00:00,359
2024-07-22 00:00:00+00:00,360
2024-07-23 00:00:00+00:00,361
2024-07-24 00:00:00+00:00,362
2024-07-30 00:00:00+00:00,364
2024-08-03 00:00:00+00:00,365
2024-08-07 00:00:00+00:00,366
2024-08-12 00:00:00+00:00,367
2024-08-18 00:00:00+00:00,368
2024-08-21 00:00:00+00:00,369
2024-08-28 00:00:00+00:00,371
2024-09-04 00:00:00+00:00,372
2024-09-21 00:00:00+00:00,373
2024-10-04 00:00:00+00:00,374
2024-10-05 00:00:00+00:00,375
2024-10-15 00:00:00+00:00,376
2024-10-21 00:00:00+00:00,377
2024-10-25 00:00:00+00:00,378
2024-10-26 00:00:00+00:00,379
2024-11-05 00:00:00+00:00,380
2024-11-13 00:00:00+00:00,381
2024-11-24 00:00:00+00:00,382
2024-12-03 00:00:00+00:00,383
2024-12-04 00:00:00+00:00,384
2024-12-06 00:00:00+00:00,385
2024-12-09 00:00:00+00:00,386
2024-12-11 00:00:00+00:00,387
2024-12-18 00:00:00+00:00,388
2024-12-19 00:00:00+00:00,389
2024-12-27 00:00:00+00:00,390
2025-01-03 00:00:00+00:00,391
2025-01-16 00:00:00+00:00,392
2025-02-11 00:00:00+00:00,393
2025-02-16 00:00:00+00:00,394
2025-02-20 00:00:00+00:00,395
2025-03-05 00:00:00+00:00,396
2025-03-06 00:00:00+00:00,397
2025-03-18 00:00:00+00:00,398
